epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,9356.65,0.55564,0.34953,0.92965,0.90461,0.80688,0.87925,0.69132,0.73706,0.50322,1.00071,0.000159075,0.000159075,0.000159075
127,9432.64,0.55458,0.34629,0.92717,0.89799,0.81124,0.87791,0.69041,0.73288,0.50311,0.9953,0.000153076,0.000153076,0.000153076
128,9508.56,0.55818,0.34616,0.92531,0.89745,0.80987,0.87817,0.6935,0.73461,0.50663,0.99749,0.000147076,0.000147076,0.000147076
129,9585.16,0.55091,0.34225,0.92411,0.8967,0.80999,0.87891,0.69236,0.73058,0.49879,0.995,0.000141077,0.000141077,0.000141077
130,9662.29,0.56148,0.35102,0.92671,0.89748,0.8152,0.87859,0.6895,0.72894,0.50414,0.9934,0.000135077,0.000135077,0.000135077
131,9737.5,0.55191,0.34455,0.92607,0.88388,0.82432,0.8767,0.6901,0.72784,0.50376,0.99569,0.000129078,0.000129078,0.000129078
132,9812.97,0.54842,0.34782,0.92343,0.8927,0.81318,0.87909,0.69119,0.73522,0.50685,1.00256,0.000123079,0.000123079,0.000123079
133,9889.02,0.54507,0.33826,0.92082,0.90274,0.8111,0.87896,0.69154,0.73135,0.51074,0.99968,0.000117079,0.000117079,0.000117079
134,9965.74,0.55462,0.34373,0.92358,0.90446,0.81155,0.881,0.69382,0.73266,0.50717,0.99855,0.00011108,0.00011108,0.00011108
135,10041.2,0.54764,0.34213,0.92408,0.90143,0.8123,0.88053,0.69321,0.73026,0.50529,0.99488,0.00010508,0.00010508,0.00010508
136,10117.2,0.54409,0.33891,0.91865,0.89854,0.81375,0.88143,0.6927,0.72971,0.49989,0.99385,9.9081e-05,9.9081e-05,9.9081e-05
137,10192.9,0.53425,0.33481,0.91507,0.90191,0.81329,0.88052,0.69128,0.73212,0.50274,0.99523,9.30816e-05,9.30816e-05,9.30816e-05
138,10269.5,0.54068,0.33768,0.91635,0.89859,0.81806,0.88201,0.69255,0.73097,0.50273,0.99659,8.70822e-05,8.70822e-05,8.70822e-05
139,10343.9,0.53219,0.33057,0.91594,0.89721,0.81509,0.88125,0.69227,0.7304,0.50182,0.99664,8.10828e-05,8.10828e-05,8.10828e-05
140,10419,0.53865,0.33465,0.91719,0.89722,0.81529,0.8815,0.69281,0.72855,0.50265,0.99586,7.50834e-05,7.50834e-05,7.50834e-05
141,10494.4,0.52305,0.30701,0.88721,0.90015,0.81049,0.87653,0.68743,0.72921,0.51123,1.0014,6.9084e-05,6.9084e-05,6.9084e-05
142,10567.4,0.5081,0.29251,0.88148,0.88405,0.82304,0.87642,0.6858,0.73541,0.51379,1.00849,6.30846e-05,6.30846e-05,6.30846e-05
143,10640,0.4991,0.28238,0.87612,0.89172,0.81619,0.87548,0.6863,0.73419,0.51171,1.00791,5.70852e-05,5.70852e-05,5.70852e-05
144,10712.1,0.50059,0.28559,0.87579,0.89865,0.81247,0.87842,0.68937,0.72923,0.50558,1.00271,5.10858e-05,5.10858e-05,5.10858e-05
145,10784.2,0.49727,0.28106,0.87279,0.89159,0.81527,0.87752,0.689,0.72975,0.50768,1.00117,4.50864e-05,4.50864e-05,4.50864e-05
146,10857.5,0.49314,0.27981,0.87303,0.89603,0.81611,0.87713,0.68907,0.72918,0.50829,1.00023,3.9087e-05,3.9087e-05,3.9087e-05
147,10930,0.49088,0.27891,0.8711,0.89433,0.81861,0.87648,0.68954,0.73,0.51179,1.00147,3.30876e-05,3.30876e-05,3.30876e-05
148,11002.1,0.4852,0.27742,0.869,0.89449,0.81752,0.87738,0.69014,0.72983,0.51221,1.00325,2.70882e-05,2.70882e-05,2.70882e-05
149,11074.2,0.48862,0.27634,0.86985,0.90049,0.81555,0.87746,0.68982,0.73091,0.51351,1.00432,2.10888e-05,2.10888e-05,2.10888e-05
150,11147.2,0.49233,0.27613,0.86808,0.90551,0.81257,0.8774,0.68987,0.73064,0.51184,1.00348,1.50894e-05,1.50894e-05,1.50894e-05
